"","Tempo","Ativo Total","Ativo Circulante","Caixa e Equivalentes de Caixa","Aplicações Financeiras","Contas a Receber","Estoques","Ativos Biológicos","Tributos a Recuperar","Despesas Antecipadas","Outros Ativos Circulantes","Ativo Realizável a Longo Prazo","Aplicações Financeiras Avaliadas a Valor Justo","Aplicações Financeiras Avaliadas ao Custo Amortizado","Contas a Receber","Estoques","Ativos Biológicos","Tributos Diferidos","Despesas Antecipadas","Créditos com Partes Relacionadas","Outros Ativos Não Circulantes","Investimentos","Imobilizado","Intangível","Diferido","Passivo Total","Passivo Circulante","Obrigações Sociais e Trabalhistas","Fornecedores","Obrigações Fiscais","Empréstimos e Financiamentos","Passivos com Partes Relacionadas","Dividendos e JCP a Pagar","Outros","Provisões","Passivos sobre Ativos Não-Correntes a Venda e Descontinuados","Passivo Não Circulante","Empréstimos e Financiamentos","Passivos com Partes Relacionadas","Outros","Tributos Diferidos","Adiantamento para Futuro Aumento Capital","Provisões","Passivos sobre Ativos Não-Correntes a Venda e Descontinuados","Lucros e Receitas a Apropriar","Participação dos Acionistas Não Controladores","Patrimônio Líquido","Capital Social Realizado","Reservas de Capital","Reservas de Reavaliação","Reservas de Lucros","Lucros/Prejuízos Acumulados","Ajustes de Avaliação Patrimonial","Ajustes Acumulados de Conversão","Outros Resultados Abrangentes","Adiantamento para Futuro Aumento Capital","Receita Bruta de Vendas e/ou Serviços","Deduções da Receita Bruta","Receita Líquida de Vendas e/ou Serviços","Custo de Bens e/ou Serviços Vendidos","Resultado Bruto","Despesas Com Vendas","Despesas Gerais e Administrativas","Perdas pela Não Recuperabilidade de Ativos ","Outras Receitas Operacionais","Outras Despesas Operacionais","Resultado da Equivalência Patrimonial","Financeiras","Receitas Financeiras","Despesas Financeiras","Resultado Não Operacional","Receitas","Despesas","Resultado Antes Tributação/Participações","Provisão para IR e Contribuição Social","IR Diferido","Participações/Contribuições Estatutárias","Reversão dos Juros sobre Capital Próprio","Part. de Acionistas Não Controladores","Lucro/Prejuízo do Período","names","Time"
"1","31/12/2007","711217.984000","587560.000000","242007.008000","0.000000","139176.000000","187624.992000","0.000000","0.000000","0.000000","18752.000000","76552.000000","0.000000","0.000000","58382.000000","0.000000","0.000000","0.000000","0.000000","0.000000","18170.000000","46208.000000","898.000000","0.000000","0.000000","711217.984000","117157.000000","0.000000","12040.000000","7250.000000","36666.000000","1904.000000","1578.000000","52179.000000","5540.000000","0.000000","248188.000000","167972.000000","0.000000","72929.000000","0.000000","0.000000","7287.000000","0.000000","0.000000","0.000000","345872.992000","340940.992000","0.000000","0.000000","4932.000000","0.000000","0.000000","0.000000","0.000000","0.000000","78595.008000","-4845.000000","73750.000000","-49859.000000","23891.000000","-14385.000000","-20789.000000","0.000000","1039.000000","-2996.000000","1164.000000","2574.000000","6761.000000","-4187.000000","34.000000","34.000000","0.000000","-9468.000000","-1924.000000","0.000000","0.000000","0.000000","-2055.000000","-13447.000000","HBOR3","2007-12-30 22:00:00"
"2","31/03/2008","743936.000000","445471.008000","200544.000000","0.000000","147084.992000","73840.000000","0.000000","0.000000","0.000000","24002.000000","253584.000000","0.000000","0.000000","70164.000000","0.000000","0.000000","0.000000","0.000000","0.000000","183420.000000","43741.000000","1140.000000","0.000000","0.000000","743936.000000","138770.000000","0.000000","13666.000000","8706.000000","46117.000000","1107.000000","0.000000","63237.000000","5937.000000","0.000000","252836.992000","163804.992000","1570.000000","79853.000000","0.000000","0.000000","7609.000000","0.000000","0.000000","0.000000","352328.992000","340940.992000","0.000000","0.000000","4932.000000","6456.000000","0.000000","0.000000","0.000000","0.000000","67965.000000","-4403.000000","63562.000000","-42467.000000","21095.000000","0.000000","-9859.000000","0.000000","488.000000","-2959.000000","0.000000","1818.000000","6845.000000","-5027.000000","-66.000000","0.000000","-66.000000","10517.000000","-2363.000000","0.000000","0.000000","0.000000","-1698.000000","6456.000000","HBOR3","2008-03-30 21:00:00"
"3","30/06/2008","832193.984000","433012.000000","160456.000000","0.000000","172932.000000","72403.000000","0.000000","0.000000","0.000000","27221.000000","358847.008000","0.000000","0.000000","97733.000000","0.000000","0.000000","0.000000","0.000000","0.000000","261114.000000","39168.000000","1167.000000","0.000000","0.000000","832193.984000","179312.992000","0.000000","18643.000000","10766.000000","56196.000000","282.000000","0.000000","87388.000000","6038.000000","0.000000","291100.992000","157604.000000","1570.000000","122755.000000","0.000000","0.000000","9172.000000","0.000000","0.000000","0.000000","361780.000000","340940.992000","0.000000","0.000000","4932.000000","15907.000000","0.000000","0.000000","0.000000","0.000000","92158.000000","-6948.000000","85210.000000","-57432.000000","27778.000000","0.000000","-10784.000000","0.000000","1464.000000","-5174.000000","0.000000","490.000000","6077.000000","-5587.000000","3.000000","3.000000","0.000000","13777.000000","-2661.000000","0.000000","0.000000","0.000000","-1665.000000","9451.000000","HBOR3","2008-06-29 21:00:00"
"4","30/09/2008","914158.016000","413510.016000","124169.000000","0.000000","163720.000000","97033.000000","0.000000","0.000000","0.000000","28588.000000","461449.984000","0.000000","0.000000","142951.008000","0.000000","0.000000","0.000000","0.000000","0.000000","318499.008000","38023.000000","1175.000000","0.000000","0.000000","914158.016000","183934.000000","0.000000","24376.000000","9956.000000","33022.000000","0.000000","0.000000","109792.000000","6788.000000","0.000000","341156.992000","169816.000000","0.000000","159376.992000","0.000000","0.000000","11964.000000","0.000000","0.000000","0.000000","389067.008000","340940.992000","0.000000","0.000000","4932.000000","43194.000000","0.000000","0.000000","0.000000","0.000000","99256.000000","-5485.000000","93771.000000","-59383.000000","34388.000000","-5668.000000","-4268.000000","0.000000","560.000000","-1045.000000","0.000000","8404.000000","6013.000000","2391.000000","6.000000","6.000000","0.000000","32377.000000","-3065.000000","0.000000","0.000000","0.000000","-2025.000000","27287.000000","HBOR3","2008-09-29 21:00:00"
"5","31/12/2008","937374.976000","635619.008000","112608.000000","0.000000","173692.992000","330491.008000","0.000000","0.000000","0.000000","18827.000000","257288.000000","0.000000","0.000000","150535.008000","0.000000","0.000000","0.000000","0.000000","0.000000","106753.000000","0.000000","10336.000000","34132.000000","0.000000","937374.976000","167067.008000","0.000000","22378.000000","11249.000000","43015.000000","0.000000","11491.000000","74075.000000","4859.000000","0.000000","405576.000000","186055.008000","0.000000","203078.000000","0.000000","0.000000","16443.000000","0.000000","0.000000","0.000000","364732.000000","327704.992000","0.000000","0.000000","37027.000000","0.000000","0.000000","0.000000","0.000000","0.000000","111374.976000","-8193.000000","103182.000000","-74136.000000","29046.000000","-23550.000000","3298.000000","0.000000","-740.000000","-3308.000000","0.000000","5966.000000","7764.000000","-1798.000000","57.000000","-9.000000","66.000000","10769.000000","-3698.000000","0.000000","0.000000","0.000000","-1883.000000","5188.000000","HBOR3","2008-12-30 22:00:00"
"6","31/03/2009","948814.976000","747638.976000","105471.000000","0.000000","182755.008000","437227.008000","0.000000","0.000000","0.000000","22186.000000","156020.992000","0.000000","0.000000","152728.000000","0.000000","0.000000","0.000000","0.000000","0.000000","3293.000000","0.000000","11633.000000","33522.000000","0.000000","948814.976000","226287.008000","0.000000","23651.000000","11737.000000","74516.000000","7.000000","11491.000000","98975.000000","5910.000000","0.000000","346856.992000","172576.992000","0.000000","157596.000000","0.000000","0.000000","16684.000000","0.000000","0.000000","0.000000","375671.008000","327704.992000","0.000000","0.000000","47966.000000","0.000000","0.000000","0.000000","0.000000","0.000000","98258.000000","-6236.000000","92022.000000","-60211.000000","31811.000000","-9903.000000","-4951.000000","0.000000","0.000000","-2805.000000","0.000000","2154.000000","3933.000000","-1779.000000","0.000000","0.000000","0.000000","16306.000000","-3365.000000","0.000000","0.000000","0.000000","-2002.000000","10939.000000","HBOR3","2009-03-30 21:00:00"
"7","30/06/2009","999227.008000","768974.976000","90710.000000","0.000000","215584.000000","439344.992000","0.000000","0.000000","0.000000","23336.000000","181884.000000","0.000000","0.000000","178211.008000","0.000000","0.000000","0.000000","0.000000","0.000000","3673.000000","0.000000","15259.000000","33109.000000","0.000000","999227.008000","282536.992000","0.000000","28458.000000","13285.000000","115121.000000","0.000000","0.000000","120367.000000","5306.000000","0.000000","325552.000000","166456.000000","0.000000","140634.000000","0.000000","0.000000","18462.000000","0.000000","0.000000","0.000000","391137.984000","327704.992000","0.000000","0.000000","63433.000000","0.000000","0.000000","0.000000","0.000000","0.000000","143756.992000","-8553.000000","135204.000000","-94476.000000","40728.000000","-10254.000000","-6644.000000","0.000000","286.000000","-4792.000000","0.000000","2045.000000","3667.000000","-1622.000000","0.000000","0.000000","0.000000","21369.000000","-3933.000000","0.000000","0.000000","0.000000","-1969.000000","15467.000000","HBOR3","2009-06-29 21:00:00"
"8","30/09/2009","1063516.032000","762284.992000","76565.000000","0.000000","269299.008000","389212.992000","0.000000","0.000000","0.000000","27208.000000","256016.000000","0.000000","0.000000","237358.000000","0.000000","0.000000","0.000000","0.000000","0.000000","18658.000000","0.000000","15105.000000","30110.000000","0.000000","1063516.032000","287955.008000","0.000000","32966.000000","16995.000000","144862.000000","0.000000","0.000000","87464.000000","5668.000000","0.000000","360252.000000","175012.992000","0.000000","161782.000000","0.000000","0.000000","23457.000000","0.000000","0.000000","0.000000","415308.992000","327704.992000","0.000000","0.000000","37027.000000","50577.000000","0.000000","0.000000","0.000000","0.000000","216418.000000","-10130.000000","206288.000000","-151440.992000","54847.000000","-14386.000000","-4029.000000","0.000000","252.000000","-4080.000000","0.000000","912.000000","2530.000000","-1618.000000","0.000000","0.000000","0.000000","33516.000000","-6923.000000","0.000000","0.000000","0.000000","-2422.000000","24171.000000","HBOR3","2009-09-29 21:00:00"
"9","31/12/2009","1162813.056000","804771.968000","93739.000000","0.000000","333252.992000","349448.992000","0.000000","0.000000","0.000000","28331.000000","315708.000000","0.000000","0.000000","272326.016000","0.000000","0.000000","0.000000","0.000000","0.000000","43382.000000","0.000000","16153.000000","26180.000000","0.000000","1162813.056000","396363.008000","0.000000","43190.000000","20967.000000","213470.000000","0.000000","22421.000000","89306.000000","7009.000000","0.000000","336616.992000","144226.000000","0.000000","166814.000000","0.000000","0.000000","25577.000000","0.000000","0.000000","8852.000000","420980.992000","327704.992000","0.000000","0.000000","93276.000000","0.000000","0.000000","0.000000","0.000000","0.000000","235476.032000","-13657.000000","221819.008000","-158032.000000","63786.992000","-17098.000000","-6594.000000","0.000000","-538.000000","-4481.000000","0.000000","2493.000000","3287.000000","-794.000000","0.000000","0.000000","0.000000","37569.000000","-6401.000000","0.000000","0.000000","0.000000","-3075.000000","28093.000000","HBOR3","2009-12-30 22:00:00"
"10","31/03/2010","1326541.952000","969902.976000","149748.000000","0.000000","432766.016000","352740.000000","0.000000","0.000000","0.000000","34649.000000","314780.992000","0.000000","0.000000","299969.984000","0.000000","0.000000","0.000000","0.000000","0.000000","14811.000000","0.000000","15549.000000","26309.000000","0.000000","1326541.952000","439339.008000","0.000000","43651.000000","28239.000000","241892.000000","0.000000","22421.000000","95588.000000","7548.000000","0.000000","337088.000000","132180.000000","0.000000","177459.008000","0.000000","0.000000","27449.000000","0.000000","0.000000","0.000000","550115.008000","423712.992000","0.000000","0.000000","126402.000000","0.000000","0.000000","0.000000","0.000000","0.000000","231835.008000","-11150.000000","220684.992000","-152038.000000","68647.000000","-17091.000000","-8041.000000","0.000000","1062.000000","-4941.000000","0.000000","3530.000000","5954.000000","-2424.000000","0.000000","0.000000","0.000000","43166.000000","-7495.000000","0.000000","0.000000","0.000000","-2545.000000","33126.000000","HBOR3","2010-03-30 21:00:00"
