"","Tempo","Ativo Total","Ativo Circulante","Disponibilidades","Aplicações Interfinanceiras de Liquidez","Títulos e Valores Mobiliários","Relações Interfinanceiras","Relações Interdependências","Operações de Crédito","Operações de Arrendamento Mercantil","Outros Créditos","Outros Valores e Bens","Ativo Realizável a Longo Prazo","Aplicações Interfinanceiras de Liquidez","Títulos e Valores Mobiliários","Relações Interfinanceiras","Relações Interdependências","Operações de Crédito","Operações de Arrendamento Mercantil","Outros Créditos","Outros Valores e Bens","Ativo Permanente","Investimentos","Imobilizado de Uso","Imobilizado de Arrendamento","Intangível","Diferido","Passivo Total","Passivo Circulante","Depósitos","Captações no Mercado Aberto","Recursos de Aceites e Emissão de Títulos","Relações Interfinanceiras","Relações Interdependências","Obrigações por Empréstimos","Obrigações por Repasse do País","Obrigações por Repasse do Exterior","Outras Obrigações","Passivo Exigível a Longo Prazo","Depósitos","Captações no Mercado Aberto","Recursos de Aceites e Emissão de Títulos","Relações Interfinanceiras","Relações Interdependências","Obrigações por Empréstimos","Obrigações por Repasse do País","Obrigações por Repasse do Exterior","Outras Obrigações","Resultados de Exercícios Futuros","Part. de Acionistas Não Controladores.x","Patrimônio Líquido","Capital Social Realizado","Reservas de Capital","Reservas de Reavaliação","Reservas de Lucro","Ajustes de Avaliação Patrimonial","Lucros/Prejuízos Acumulados","Receitas da Intermediação Financeira","Despesas da Intermediação Financeira","Resultado Bruto Intermediação Financeira","Outras Despesas/Receitas Operacionais","Receitas de Prestação de Serviços","Despesas de Pessoal","Outras Despesas Administrativas","Despesas Tributárias","Outras Receitas Operacionais","Outras Despesas Operacionais","Resultado da Equivalência Patrimonial","Resultado Operacional","Resultado Não Operacional","Receitas","Despesas","Resultado Antes Tributação/Participações","Provisão para IR e Contribuição Social","IR Diferido","Participações/Contribuições Estatutárias","Reversão dos Juros sobre Capital Próprio","Part. de Acionistas Não Controladores.y","Lucro/Prejuízo do Período","names","Time"
"1","30/06/2007","1543005.952000","1076338.944000","7569.000000","44382.000000","556942.016000","441.000000","0.000000","424552.000000","0.000000","14684.000000","27769.000000","453235.008000","0.000000","28515.000000","0.000000","0.000000","388401.984000","0.000000","13559.000000","22759.000000","13432.000000","10329.000000","2667.000000","0.000000","0.000000","436.000000","1543005.952000","531184.000000","394808.000000","33918.000000","22853.000000","907.000000","0.000000","0.000000","0.000000","0.000000","78698.000000","321740.992000","259946.000000","0.000000","48655.000000","0.000000","0.000000","0.000000","0.000000","0.000000","13140.000000","0.000000","0.000000","690081.024000","661200.000000","177.000000","0.000000","35686.000000","-5.000000","-6977.000000","73569.000000","-36849.000000","36720.000000","-31409.000000","2648.000000","-3033.000000","-29964.000000","-3252.000000","3786.000000","-2606.000000","1012.000000","5311.000000","41.000000","41.000000","0.000000","5352.000000","-5534.000000","5151.000000","0.000000","0.000000","0.000000","4969.000000","PRBC4","2007-06-29 21:00:00"
"2","30/09/2007","1697363.968000","1057854.016000","7779.000000","477852.000000","16474.000000","351.000000","0.000000","503087.008000","0.000000","19653.000000","32658.000000","586212.992000","0.000000","65089.000000","0.000000","0.000000","477316.992000","0.000000","12637.000000","31170.000000","53297.000000","50170.000000","2678.000000","0.000000","0.000000","449.000000","1697363.968000","617116.992000","449908.000000","53850.000000","22231.000000","233.000000","0.000000","0.000000","0.000000","0.000000","90895.000000","330073.984000","263819.008000","0.000000","47344.000000","0.000000","0.000000","0.000000","0.000000","0.000000","18911.000000","2.000000","1.000000","750169.984000","699851.008000","177.000000","0.000000","35686.000000","-9.000000","14465.000000","87872.000000","-37342.000000","50530.000000","-21139.000000","2689.000000","-3220.000000","-22212.000000","-4278.000000","6996.000000","-2303.000000","1189.000000","29391.000000","17.000000","22.000000","-5.000000","29408.000000","-10287.000000","701.000000","0.000000","0.000000","0.000000","19822.000000","PRBC4","2007-09-29 21:00:00"
"3","31/12/2007","1724449.024000","1019379.968000","570.000000","319590.016000","9339.000000","11.000000","0.000000","637294.976000","0.000000","12783.000000","39792.000000","649699.008000","0.000000","67267.000000","0.000000","0.000000","534800.992000","0.000000","13819.000000","33812.000000","55370.000000","51456.000000","3470.000000","0.000000","0.000000","444.000000","1724449.024000","652505.984000","490852.992000","1386.000000","47500.000000","0.000000","0.000000","0.000000","0.000000","0.000000","112767.000000","324838.016000","296340.000000","0.000000","9422.000000","0.000000","0.000000","0.000000","0.000000","0.000000","19076.000000","2.000000","0.000000","747102.976000","280591.008000","419260.000000","177.000000","49587.000000","21.000000","-2533.000000","93916.016000","-34580.008000","59336.000000","-19358.000000","1893.000000","-3713.000000","-22416.000000","-4811.000000","13644.000000","-5240.000000","1285.000000","39978.000000","22.000000","23.000000","-1.000000","40000.000000","8274.000000","-11363.000000","-1803.000000","0.000000","0.000000","35108.000000","PRBC4","2007-12-30 22:00:00"
"4","31/03/2008","1971872.000000","1011724.032000","4163.000000","147936.000000","113984.000000","780.000000","0.000000","625620.992000","0.000000","79295.000000","39945.000000","896553.984000","0.000000","176171.008000","0.000000","0.000000","644836.992000","0.000000","36451.000000","39095.000000","63594.000000","1477.000000","4057.000000","0.000000","0.000000","58060.000000","1971872.000000","786171.008000","541441.984000","0.000000","45304.000000","176.000000","0.000000","0.000000","0.000000","0.000000","199248.992000","369830.016000","336302.016000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","33528.000000","4.000000","0.000000","815867.008000","763867.008000","177.000000","0.000000","38071.000000","-28.000000","13780.000000","86458.000000","-34286.000000","52172.000000","-19109.000000","12717.000000","-6144.000000","-33881.000000","-4209.000000","62389.000000","-49981.000000","0.000000","33063.000000","0.000000","0.000000","0.000000","33063.000000","-10417.000000","1340.000000","-358.000000","0.000000","0.000000","23628.000000","PRBC4","2008-03-30 21:00:00"
"5","30/06/2008","2160311.040000","990737.984000","1539.000000","114593.000000","132641.000000","863.000000","0.000000","605299.008000","0.000000","88003.000000","47800.000000","1105720.960000","0.000000","250302.000000","0.000000","0.000000","768515.968000","0.000000","41207.000000","45696.000000","63852.000000","1564.000000","4854.000000","0.000000","0.000000","57434.000000","2160311.040000","845356.032000","580345.024000","1859.000000","41268.000000","233.000000","0.000000","0.000000","0.000000","0.000000","221651.008000","507972.992000","459383.008000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","48590.000000","183.000000","0.000000","806798.976000","763867.008000","265.000000","0.000000","43268.000000","-18.000000","-583.000000","98483.000000","-35918.000000","62565.000000","-33723.000000","13657.000000","-7623.000000","-38203.000000","-4249.000000","57254.000000","-54559.000000","0.000000","28842.000000","4.000000","4.000000","0.000000","28846.000000","-3305.000000","1157.000000","-1335.000000","0.000000","0.000000","25363.000000","PRBC4","2008-06-29 21:00:00"
"6","30/09/2008","2186068.992000","991920.000000","69948.000000","6807.000000","150703.008000","655.000000","0.000000","623484.032000","0.000000","96643.000000","43680.000000","1130633.984000","0.000000","243640.992000","0.000000","0.000000","796913.984000","0.000000","38144.000000","51935.000000","63515.000000","1565.000000","5222.000000","0.000000","0.000000","56728.000000","2186068.992000","797448.000000","539931.008000","15502.000000","51163.000000","256.000000","0.000000","0.000000","0.000000","0.000000","190596.000000","574868.992000","456156.000000","0.000000","69239.000000","0.000000","0.000000","0.000000","0.000000","0.000000","49474.000000","2822.000000","1.000000","810929.024000","763867.008000","265.000000","0.000000","29552.000000","-74.000000","17319.000000","103104.000000","-57193.000000","45911.000000","-25352.000000","11284.000000","-8522.000000","-24356.000000","-3510.000000","53303.000000","-53551.000000","0.000000","20559.000000","-1.000000","4.000000","-5.000000","20558.000000","-7597.000000","1048.000000","-168.000000","5272.000000","0.000000","19113.000000","PRBC4","2008-09-29 21:00:00"
"7","31/12/2008","1977783.040000","829409.984000","3912.000000","86464.000000","129371.000000","7.000000","0.000000","441995.008000","0.000000","137015.008000","30646.000000","1085208.960000","101.000000","380476.000000","0.000000","0.000000","619206.976000","0.000000","46495.000000","38930.000000","63164.000000","1564.000000","5516.000000","0.000000","56028.000000","56.000000","1977783.040000","554235.008000","306839.008000","5998.000000","13326.000000","3.000000","0.000000","0.000000","0.000000","0.000000","228068.992000","613817.984000","462695.008000","0.000000","84355.000000","0.000000","0.000000","0.000000","0.000000","0.000000","66768.000000","0.000000","0.000000","809729.984000","763867.008000","265.000000","0.000000","45722.000000","-124.000000","0.000000","120046.016000","-48025.000000","72020.992000","-48540.000000","20361.000000","-9567.000000","-60479.008000","-4657.000000","101554.000000","-95752.000000","0.000000","23481.000000","5.000000","10.000000","-5.000000","23486.000000","-5377.000000","5482.000000","-2296.000000","-5272.000000","0.000000","16023.000000","PRBC4","2008-12-30 22:00:00"
"8","31/03/2009","2225508.096000","990568.000000","5494.000000","45721.000000","169724.000000","623.000000","0.000000","456183.008000","0.000000","147403.008000","165420.000000","1172461.952000","0.000000","372808.992000","0.000000","0.000000","597739.008000","0.000000","50049.000000","151864.992000","62478.000000","1566.000000","5564.000000","0.000000","55295.000000","53.000000","2225508.096000","735697.024000","329073.984000","0.000000","0.000000","71.000000","0.000000","0.000000","0.000000","0.000000","406552.000000","682446.016000","408566.016000","0.000000","82442.000000","0.000000","0.000000","0.000000","0.000000","0.000000","191438.000000","0.000000","0.000000","807364.992000","763867.008000","265.000000","0.000000","43326.000000","-93.000000","0.000000","79961.000000","-37517.000000","42444.000000","-19762.000000","21850.000000","-8728.000000","-37303.000000","-3636.000000","104873.000000","-96818.000000","0.000000","22682.000000","8.000000","13.000000","-5.000000","22690.000000","-10719.000000","2380.000000","-32.000000","5974.000000","0.000000","20293.000000","PRBC4","2009-03-30 21:00:00"
"9","30/06/2009","2294661.120000","1019096.000000","2492.000000","35034.000000","159180.000000","757.000000","0.000000","505732.992000","0.000000","146015.008000","169884.992000","1214224.000000","0.000000","416947.008000","0.000000","0.000000","599488.000000","0.000000","50387.000000","147402.000000","61341.000000","1270.000000","5477.000000","0.000000","54557.000000","37.000000","2294661.120000","819392.000000","389212.992000","910.000000","0.000000","298.000000","0.000000","0.000000","0.000000","0.000000","428971.008000","670729.024000","396017.984000","0.000000","70290.000000","0.000000","0.000000","0.000000","0.000000","0.000000","204420.992000","0.000000","0.000000","804540.032000","763867.008000","265.000000","0.000000","40510.000000","-102.000000","0.000000","83962.000000","-30986.000000","52976.000000","-30801.000000","14327.000000","-7419.000000","-27512.000000","-3620.000000","91334.000000","-97911.000000","0.000000","22175.000000","951.000000","951.000000","0.000000","23126.000000","-8029.000000","1476.000000","-1038.000000","18284.000000","0.000000","33819.000000","PRBC4","2009-06-29 21:00:00"
"10","30/09/2009","2661892.096000","1382996.992000","3394.000000","104839.000000","338683.008000","377.000000","0.000000","554790.976000","0.000000","115278.000000","265635.008000","1218146.944000","0.000000","326660.992000","0.000000","0.000000","592313.984000","0.000000","50237.000000","248935.008000","60748.000000","1353.000000","5586.000000","0.000000","53774.000000","35.000000","2661892.096000","1115681.024000","569641.984000","13998.000000","0.000000","802.000000","0.000000","0.000000","0.000000","0.000000","531239.008000","734843.008000","365812.000000","0.000000","63446.000000","0.000000","0.000000","0.000000","0.000000","0.000000","305584.992000","0.000000","0.000000","811368.000000","763867.008000","265.000000","0.000000","32798.000000","-96.000000","14534.000000","88205.000000","-41500.000000","46705.000000","-27263.000000","12494.000000","-7576.000000","-27018.000000","-3125.000000","82199.000000","-84237.000000","0.000000","19442.000000","260.000000","260.000000","0.000000","19702.000000","-9083.000000","2719.000000","238.000000","7547.000000","0.000000","21123.000000","PRBC4","2009-09-29 21:00:00"
