"","Cresc.5a","DY","Div.Brut/Pat.","EBITDA","EV/EBIT","Liq.2m.","Liq.Corr.","Mrg.Liq.","P/Ativ.Circ.Liq.","P/Ativo","P/Cap.Giro","P/EBIT","P/L","P/VP","PSR","Pat.Liq","ROE","ROIC","cotacao","dateCreated","names"
"ABCB4","0,69%","5,39%","0,00","0,00%","0,00","6.841.530,00","0,00","0,00%","0,00","0,000","0,00","0,00","8,83","1,24","0,000","2.893.220.000,00","14,05%","0,00%","19,69",2017-02-18,"ABCB4"
"ABEV3","3,37%","3,22%","0,09","34,04%","17,23","176.505.000,00","0,91","26,21%","-28,45","3,580","-150,14","17,44","23,55","5,97","5,935","47.431.600.000,00","25,36%","25,44%","18,02",2017-02-18,"ABEV3"
"AELP3","8,26%","0,91%","3,06","3,75%","8,08","3.224,12","1,12","-0,28%","-0,20","0,098","2,92","2,93","-31,03","1,11","0,110","1.206.820.000,00","-3,56%","4,17%","14,04",2017-02-18,"AELP3"
"AFLT3","-4,37%","7,75%","0,05","48,30%","17,97","766,02","12,77","56,24%","4,35","3,017","4,10","20,43","17,55","3,37","9,868","74.743.000,00","19,19%","26,43%","3,99",2017-02-18,"AFLT3"
"AFLU3","9,79%","9,20%","0,00","22,94%","10,70","441,33","3,14","20,42%","13,98","1,837","11,81","11,80","13,26","2,03","2,708","44.893.000,00","15,33%","20,04%","4,85",2017-02-18,"AFLU3"
"AGRO3","1,39%","5,00%","0,16","-36,29%","-17,20","740.822,00","2,06","-33,03%","7,47","0,809","5,09","-17,99","-19,77","1,01","6,529","656.429.000,00","-5,12%","-5,72%","11,67",2017-02-18,"AGRO3"
"AHEB5","1,18%","0,00%","0,00","-5,85%","-31,53","481,00","0,52","-7,12%","-2,69","1,355","-13,03","-31,65","-26,00","3,54","1,852","103.777.000,00","-13,63%","-4,60%","71,01",2017-02-18,"AHEB5"
"AHEB6","1,18%","0,00%","0,00","-5,85%","-28,85","297,62","0,52","-7,12%","-2,46","1,240","-11,92","-28,97","-23,80","3,24","1,695","103.777.000,00","-13,63%","-4,60%","65,00",2017-02-18,"AHEB6"
"ALPA3","9,66%","2,88%","0,26","13,39%","8,48","29.343,90","2,19","7,56%","8,43","1,210","3,77","8,25","14,44","2,28","1,105","1.955.080.000,00","15,81%","18,66%","9,49",2017-02-18,"ALPA3"
"ALPA4","9,66%","2,59%","0,26","13,39%","10,30","4.972.470,00","2,19","7,56%","10,29","1,478","4,60","10,08","17,64","2,79","1,350","1.955.080.000,00","15,81%","18,66%","11,59",2017-02-18,"ALPA4"
"ALSC3","11,87%","0,00%","0,00","56,21%","9,80","8.208.240,00","1,33","0,82%","-2,25","0,732","17,93","11,08","-367,74","1,49","6,230","2.139.910.000,00","-0,41%","7,23%","15,75",2017-02-18,"ALSC3"
"ALUP11","6,87%","3,58%","1,61","73,93%","7,55","6.253.520,00","1,60","38,69%","-1,58","0,471","4,78","4,23","22,86","1,66","3,128","2.938.260.000,00","7,28%","12,38%","19,52",2017-02-18,"ALUP11"
"ALUP3","6,87%","3,31%","1,61","73,93%","7,90","4.424,64","1,60","38,69%","-1,71","0,509","5,17","4,58","24,73","1,80","3,385","2.938.260.000,00","7,28%","12,38%","7,04",2017-02-18,"ALUP3"
